GENUS,APGIII_FAMILY,STATUS
Aa,Orchidaceae,Accepted by TPL
Aaronsohnia,Asteraceae,Accepted by TPL
Abacopteris,Thelypteridaceae,Accepted by TPL
Abacosa,Fabaceae,Unresolved at TPL
Abarema,Fabaceae,Accepted by TPL
Abasoloa,Asteraceae,Unresolved at TPL
Abatia,Salicaceae,Accepted by TPL
Abbevillea,Myrtaceae,Unresolved at TPL
Abdominea,Orchidaceae,Accepted by TPL
Abelia,Caprifoliaceae,Accepted by TPL
Abelicea,Ulmaceae,Unresolved at TPL
Abeliophyllum,Oleaceae,Accepted by TPL
Abelmoschus,Malvaceae,Accepted by TPL
Aberemoa,Annonaceae,Unresolved at TPL
Aberia,Salicaceae,Unresolved at TPL
Abies,Pinaceae,Accepted by TPL
Abietinella,Thuidiaceae,Accepted by TPL
Abildgaardia,Cyperaceae,Unresolved at TPL
Abobra,Cucurbitaceae,Accepted by TPL
Abolboda,Xyridaceae,Accepted by TPL
Aboriella,Urticaceae,Unresolved at TPL
Abrahamia,Anacardiaceae,Accepted by TPL
Abrodictyum,Hymenophyllaceae,Accepted by TPL
Abroma,Malvaceae,Accepted by TPL
Abromeitiella,Bromeliaceae,Liu et al.(2015)
Abronia,Nyctaginaceae,Accepted by TPL
Abrophyllum,Rousseaceae,Accepted by TPL
Abrotanella,Asteraceae,Accepted by TPL
Abrus,Fabaceae,Accepted by TPL
Absinthium,Asteraceae,Accepted by TPL
Absolmsia,Apocynaceae,Accepted by TPL
Abuta,Menispermaceae,Accepted by TPL
Abutilon,Malvaceae,Accepted by TPL
Abutua,Gnetaceae,Unresolved at TPL
Acacia,Fabaceae,Accepted by TPL
Acaciella,Fabaceae,Accepted by TPL
Acaena,Rosaceae,Accepted by TPL
Acalypha,Euphorbiaceae,Accepted by TPL
Acampe,Orchidaceae,Accepted by TPL
Acamptopappus,Asteraceae,Accepted by TPL
Acanthaceae,Acanthaceae,Accepted by TPL
Acanthanthus,Cactaceae,Unresolved at TPL
Acantharia,Fabaceae,Unresolved at TPL
