APGIII_FAMILY,APGIII_ORDER,APGIII_NUMBER,GROUP
Amborellaceae,Amborellales,APGIII_001,Angiosperms
Hydatellaceae,Nymphaeales,APGIII_002,Angiosperms
Cabombaceae,Nymphaeales,APGIII_003,Angiosperms
Nymphaeaceae,Nymphaeales,APGIII_004,Angiosperms
Austrobaileyaceae,Austrobaileyales,APGIII_005,Angiosperms
Trimeniaceae,Austrobaileyales,APGIII_006,Angiosperms
Schisandraceae,Austrobaileyales,APGIII_007,Angiosperms
Chloranthaceae,Chloranthales,APGIII_008,Angiosperms
Canellaceae,Canellales,APGIII_009,Angiosperms
Winteraceae,Canellales,APGIII_010,Angiosperms
Saururaceae,Piperales,APGIII_011,Angiosperms
Piperaceae,Piperales,APGIII_012,Angiosperms
Lactoridaceae,Piperales,APGIII_013,Angiosperms
Hydnoraceae,Piperales,APGIII_014,Angiosperms
Aristolochiaceae,Piperales,APGIII_015,Angiosperms
Myristicaceae,Magnoliales,APGIII_016,Angiosperms
Magnoliaceae,Magnoliales,APGIII_017,Angiosperms
Degeneriaceae,Magnoliales,APGIII_018,Angiosperms
Himantandraceae,Magnoliales,APGIII_019,Angiosperms
Eupomatiaceae,Magnoliales,APGIII_020,Angiosperms
Annonaceae,Magnoliales,APGIII_021,Angiosperms
Calycanthaceae,Laurales,APGIII_022,Angiosperms
Siparunaceae,Laurales,APGIII_023,Angiosperms
Gomortegaceae,Laurales,APGIII_024,Angiosperms
Atherospermataceae,Laurales,APGIII_025,Angiosperms
Hernandiaceae,Laurales,APGIII_026,Angiosperms
Monimiaceae,Laurales,APGIII_027,Angiosperms
Lauraceae,Laurales,APGIII_028,Angiosperms
Acoraceae,Acorales,APGIII_029,Angiosperms
Araceae,Alismatales,APGIII_030,Angiosperms
Tofieldiaceae,Alismatales,APGIII_031,Angiosperms
Alismataceae,Alismatales,APGIII_032,Angiosperms
Butomaceae,Alismatales,APGIII_033,Angiosperms
Hydrocharitaceae,Alismatales,APGIII_034,Angiosperms
Scheuchzeriaceae,Alismatales,APGIII_035,Angiosperms
Aponogetonaceae,Alismatales,APGIII_036,Angiosperms
Juncaginaceae,Alismatales,APGIII_037,Angiosperms
Zosteraceae,Alismatales,APGIII_038,Angiosperms
Potamogetonaceae,Alismatales,APGIII_039,Angiosperms
Posidoniaceae,Alismatales,APGIII_040,Angiosperms
Ruppiaceae,Alismatales,APGIII_041,Angiosperms
Cymodoceaceae,Alismatales,APGIII_042,Angiosperms
Petrosaviaceae,Petrosaviales,APGIII_043,Angiosperms
Nartheciaceae,Dioscoreales,APGIII_044,Angiosperms
Burmanniaceae,Dioscoreales,APGIII_045,Angiosperms
Dioscoreaceae,Dioscoreales,APGIII_046,Angiosperms
Triuridaceae,Pandanales,APGIII_047,Angiosperms
Velloziaceae,Pandanales,APGIII_048,Angiosperms
Stemonaceae,Pandanales,APGIII_049,Angiosperms
Cyclanthaceae,Pandanales,APGIII_050,Angiosperms
Pandanaceae,Pandanales,APGIII_051,Angiosperms
Campynemataceae,Liliales,APGIII_052,Angiosperms
Melanthiaceae,Liliales,APGIII_053,Angiosperms
Petermanniaceae,Liliales,APGIII_054,Angiosperms
Alstroemeriaceae,Liliales,APGIII_055,Angiosperms
Colchicaceae,Liliales,APGIII_056,Angiosperms
Philesiaceae,Liliales,APGIII_057,Angiosperms
Ripogonaceae,NA,APGIII_058,Angiosperms
Smilacaceae,Liliales,APGIII_059,Angiosperms
Corsiaceae,Liliales,APGIII_060,Angiosperms
Liliaceae,Liliales,APGIII_061,Angiosperms
Orchidaceae,Asparagales,APGIII_062,Angiosperms
Boryaceae,Asparagales,APGIII_063,Angiosperms
Blandfordiaceae,Asparagales,APGIII_064,Angiosperms
Asteliaceae,Asparagales,APGIII_065,Angiosperms
Lanariaceae,Asparagales,APGIII_066,Angiosperms
Hypoxidaceae,Asparagales,APGIII_067,Angiosperms
Tecophilaeaceae,Asparagales,APGIII_068,Angiosperms
Doryanthaceae,Asparagales,APGIII_069,Angiosperms
Ixioliriaceae,Asparagales,APGIII_070,Angiosperms
Iridaceae,Asparagales,APGIII_071,Angiosperms
Xeronemataceae,Asparagales,APGIII_072,Angiosperms
Xanthorrhoeaceae,Asparagales,APGIII_073,Angiosperms
Amaryllidaceae,Asparagales,APGIII_074,Angiosperms
Asparagaceae,Asparagales,APGIII_075,Angiosperms
Arecaceae,Arecales,APGIII_076,Angiosperms
Hanguanaceae,Commelinales,APGIII_077,Angiosperms
Commelinaceae,Commelinales,APGIII_078,Angiosperms
Philydraceae,Commelinales,APGIII_079,Angiosperms
Pontederiaceae,Commelinales,APGIII_080,Angiosperms
Haemodoraceae,Commelinales,APGIII_081,Angiosperms
Strelitziaceae,Zingiberales,APGIII_082,Angiosperms
Lowiaceae,Zingiberales,APGIII_083,Angiosperms
Heliconiaceae,Zingiberales,APGIII_084,Angiosperms
Musaceae,Zingiberales,APGIII_085,Angiosperms
Cannaceae,Zingiberales,APGIII_086,Angiosperms
Marantaceae,Zingiberales,APGIII_087,Angiosperms
Costaceae,Zingiberales,APGIII_088,Angiosperms
Zingiberaceae,Zingiberales,APGIII_089,Angiosperms
Dasypogonaceae,unplacedCommelinid,APGIII_090,Angiosperms
Typhaceae,Poales,APGIII_091,Angiosperms
Bromeliaceae,Poales,APGIII_092,Angiosperms
Rapateaceae,Poales,APGIII_093,Angiosperms
Xyridaceae,Poales,APGIII_094,Angiosperms
Eriocaulaceae,Poales,APGIII_095,Angiosperms
Mayacaceae,Poales,APGIII_096,Angiosperms
